uid,label,date,points_std,covering_std,num_of_points,covering,entropy,turning_radius,place_dif,weekdays_weekends,ratio_day,ratio_night
60134546,0,32,5.697958746,3.922125,17.28125,10.1875,4.88909273,7.132511254,0.1069,-9.536231884,0.15328467153284672,0.29245767060030786
60134557,0,31,9.326341467,3.138042675,28.22580645,6.7741935479999995,4.799235889,7.135440984,0.1601,16.41919192,0.3235790658413056,0.33562860950688583
60134559,0,32,5.8609561039999996,1.203154456,22.3125,5.1875,4.961669793,7.142013294,0.0379,1.956521739,0.26788036410923277,0.2727909419866931
60134574,1,32,2.146828118,0.0,3.1875,1.0,5.0,7.141039821000001,1.0,-28.25603865,0.3683140305896915,0.3683140305896915
60134582,1,30,3.647704364,0.91538573,6.733333332999999,1.3,4.680026822,7.138742054,0.8785,-1.878787879,0.3487217065624491,0.3487217065624491
60134587,1,32,6.074470638999999,2.235166155,15.9375,6.8125,4.914385243,7.133622439,0.0673,-13.19875776,0.32173624917163685,0.5307895731016244
60134605,1,32,3.217736883,1.163542283,8.03125,3.53125,4.922912901,7.133258933,0.1255,-16.75362319,0.18775510204081633,0.12982005141388175
60134609,0,32,9.686986199,1.263635309,16.96875,3.375,4.909153012,7.1374417139999995,0.0388,1.956521739,0.28781780700893295,0.28781780700893295
60134621,1,32,3.309322121,1.435438564,11.875,4.0625,4.9249460460000005,7.152321475,0.1311,6.434782609,0.5763157894736842,0.20574162679425836
60134622,0,32,9.780607459,2.1914423,18.21875,5.1875,4.872188227,7.14744964,0.0021,2.364130435,0.28795914358672164,0.25418060200668896
60134629,0,32,5.30975973,2.9777399960000004,41.75,4.3125,4.725534969,7.147525439,0.2901,21.88888889,0.3457195941117622,0.26112827554640117
60134642,1,18,8.874764104,3.804022639,28.94444444,10.0,4.050349283,7.136278307,0.3933,16.02564103,0.1855388813096862,0.1855388813096862
60134646,1,32,3.963416374,1.060660172,13.03125,4.1875,4.953544259,7.14296125,0.1782,2.7922705310000002,0.3985841797476147,0.2677430205179953
60134665,1,19,1.3420765959999998,0.495594628,2.368421053,1.368421053,4.16197818,7.144792517000001,0.7727,1.714285714,0.479020979020979,0.479020979020979
60134684,1,32,12.05631945,2.228843183,26.75,8.5,4.951652007,7.130100986,0.0536,20.89130435,0.5225424981522543,0.5225424981522543
60134689,0,32,10.75042197,2.5932216230000003,20.90625,4.71875,4.768887274,7.135914422000001,0.2914,-8.062801932000001,0.4351015801354402,0.4351015801354402
60134702,1,29,6.389261311,2.2117019730000003,10.5862069,3.965517241,4.630339404,7.140803161,0.2664,-13.48888889,0.24813895781637718,0.42424242424242425
60134709,0,32,4.949747468,1.848059139,25.875,6.4375,4.9400033080000005,7.149261817,0.3631,15.20772947,0.3782866836301951,0.3782866836301951
60134743,0,32,10.267392800000001,2.577038811,33.75,9.0625,4.944425803000001,7.109130327999999,0.2729,2.5893719809999998,0.2710376871450697,0.2710376871450697
